Config Num, Utility
881,-7,
882,-4,
883,-7,
884,-3,
885,-2,
886,-6,
887,-2,
888,-6,
889,-10,
890,-10,
891,-7,
892,-9,
893,-9,
894,-4,
895,-1,
896,-3,
897,-5,
898,-3,
899,-6,
900,-3,
901,-2,
902,-3,
903,-4,
904,-3,
905,-10,
906,-10,
907,-7,
908,-6,
909,-3,
910,-8,
911,-7,
912,-5,
913,-1,
914,-4,
915,-6,
916,-2,
917,-9,
918,-5,
919,-6,
920,-9,
921,-3,
922,-7,
923,-6,
924,-4,
925,-4,
926,-7,
927,-8,
928,-6,
929,-9,
930,-3,
931,-9,
932,-6,
933,-1,
934,-7,
935,-10,
936,-2,
937,-7,
938,-2,
939,-4,
940,-4,
941,-8,
942,-5,
943,-10,
944,-8,
945,-4,
946,-2,
947,-8,
948,-10,
949,-3,
950,-2,
951,-3,
952,-9,
953,-1,
954,-8,
955,-8,
956,-10,
957,-2,
958,-1,
959,-7,
960,-6,
