Config Num, Utility
2001,-4,
2002,-3,
2003,-4,
2004,-9,
2005,-8,
2006,-7,
2007,-7,
2008,-2,
2009,-5,
2010,-6,
2011,-2,
2012,-8,
2013,-8,
2014,-3,
2015,-6,
2016,-6,
2017,-4,
2018,-9,
2019,-6,
2020,-7,
2021,-5,
2022,-1,
2023,-7,
2024,-5,
2025,-4,
2026,-5,
2027,-6,
2028,-8,
2029,-7,
2030,-2,
2031,-8,
2032,-5,
2033,-6,
2034,-7,
2035,-4,
2036,-1,
2037,-7,
2038,-3,
2039,-8,
2040,-8,
2041,-8,
2042,-6,
2043,-6,
2044,-1,
2045,-10,
2046,-6,
2047,-5,
2048,-3,
2049,-3,
2050,-2,
2051,-8,
2052,-8,
2053,-10,
2054,-2,
2055,-9,
2056,-4,
2057,-2,
2058,-9,
2059,-1,
2060,-4,
2061,-6,
2062,-5,
2063,-6,
2064,-2,
2065,-7,
2066,-5,
2067,-6,
2068,-2,
2069,-9,
2070,-5,
2071,-9,
2072,-8,
2073,-10,
2074,-2,
2075,-7,
2076,-9,
2077,-3,
2078,-4,
2079,-7,
2080,-4,
