Config Num, Utility
701,-1,
702,-3,
703,-7,
704,-6,
705,-5,
706,-4,
707,-1,
708,-6,
709,-6,
710,-8,
711,-9,
712,-3,
713,-1,
714,-10,
715,-4,
716,-5,
717,-6,
718,-8,
719,-1,
720,-7,
721,-4,
722,-2,
723,-10,
724,-6,
725,-2,
726,-10,
727,-3,
728,-1,
729,-2,
730,-10,
731,-3,
732,-6,
733,-7,
734,-9,
735,-4,
736,-8,
737,-4,
738,-7,
739,-8,
740,-4,
741,-7,
742,-5,
743,-4,
744,-2,
745,-6,
746,-9,
747,-4,
748,-7,
749,-9,
750,-4,
751,-2,
752,-6,
753,-7,
754,-9,
755,-4,
756,-5,
757,-9,
758,-6,
759,-10,
760,-5,
761,-8,
762,-10,
763,-2,
764,-1,
765,-1,
766,-3,
767,-10,
768,-2,
769,-7,
770,-1,
