Config Num, Utility
2071,-9,
2072,-7,
2073,-2,
2074,-7,
2075,-7,
2076,-7,
2077,-5,
2078,-7,
2079,-3,
2080,-4,
2081,-3,
2082,-4,
2083,-8,
2084,-8,
2085,-8,
2086,-9,
2087,-1,
2088,-1,
2089,-8,
2090,-6,
2091,-1,
2092,-4,
2093,-9,
2094,-1,
2095,-1,
2096,-2,
2097,-6,
2098,-6,
2099,-9,
2100,-6,
2101,-4,
2102,-6,
2103,-4,
2104,-4,
2105,-9,
2106,-3,
2107,-4,
2108,-6,
2109,-3,
2110,-10,
2111,-10,
2112,-3,
2113,-4,
2114,-2,
2115,-7,
2116,-7,
2117,-4,
2118,-3,
2119,-10,
2120,-3,
2121,-3,
2122,-5,
2123,-2,
2124,-8,
2125,-3,
2126,-5,
2127,-3,
2128,-10,
2129,-1,
2130,-1,
2131,-4,
2132,-10,
2133,-10,
2134,-2,
2135,-3,
2136,-9,
2137,-2,
2138,-8,
2139,-5,
2140,-6,
2141,-6,
2142,-7,
2143,-6,
2144,-10,
2145,-1,
2146,-5,
2147,-8,
2148,-9,
2149,-9,
2150,-9,
2151,-2,
2152,-10,
2153,-9,
2154,-8,
2155,-5,
2156,-7,
2157,-4,
2158,-7,
2159,-9,
2160,-5,
