Config Num, Utility
1801,-6,
1802,-1,
1803,-3,
1804,-9,
1805,-10,
1806,-3,
1807,-7,
1808,-7,
1809,-8,
1810,-6,
1811,-1,
1812,-7,
1813,-9,
1814,-9,
1815,-1,
1816,-7,
1817,-9,
1818,-9,
1819,-3,
1820,-4,
1821,-4,
1822,-1,
1823,-9,
1824,-6,
1825,-1,
1826,-9,
1827,-1,
1828,-6,
1829,-8,
1830,-10,
1831,-5,
1832,-4,
1833,-9,
1834,-2,
1835,-2,
1836,-5,
1837,-7,
1838,-9,
1839,-5,
1840,-5,
1841,-2,
1842,-9,
1843,-9,
1844,-6,
1845,-2,
1846,-4,
1847,-9,
1848,-1,
1849,-1,
1850,-6,
1851,-7,
1852,-8,
1853,-7,
1854,-1,
1855,-2,
1856,-7,
1857,-9,
1858,-10,
1859,-9,
1860,-6,
1861,-5,
1862,-10,
1863,-10,
1864,-8,
1865,-3,
1866,-4,
1867,-3,
1868,-1,
1869,-10,
1870,-9,
1871,-3,
1872,-9,
1873,-3,
1874,-7,
1875,-1,
1876,-2,
1877,-3,
1878,-4,
1879,-5,
1880,-7,
1881,-8,
1882,-2,
1883,-3,
1884,-4,
1885,-5,
1886,-2,
1887,-7,
1888,-8,
1889,-8,
1890,-9,
1891,-6,
1892,-10,
1893,-9,
1894,-5,
1895,-2,
1896,-10,
1897,-8,
1898,-3,
1899,-6,
1900,-4,
