Config Num, Utility
241,-1,
242,-10,
243,-5,
244,-7,
245,-4,
246,-8,
247,-6,
248,-9,
249,-10,
250,-10,
251,-3,
252,-2,
253,-6,
254,-5,
255,-5,
256,-10,
257,-1,
258,-7,
259,-7,
260,-1,
261,-7,
262,-4,
263,-3,
264,-3,
265,-3,
266,-9,
267,-6,
268,-8,
269,-10,
270,-5,
271,-1,
272,-3,
273,-9,
274,-7,
275,-1,
276,-6,
277,-1,
278,-9,
279,-5,
280,-2,
281,-3,
282,-8,
283,-5,
284,-4,
285,-7,
286,-8,
287,-2,
288,-3,
289,-2,
290,-6,
291,-2,
292,-4,
293,-10,
294,-8,
295,-2,
296,-9,
297,-6,
298,-7,
299,-4,
300,-4,
