Config Num, Utility
1921,-1,
1922,-3,
1923,-1,
1924,-4,
1925,-1,
1926,-2,
1927,-8,
1928,-3,
1929,-7,
1930,-9,
1931,-4,
1932,-2,
1933,-9,
1934,-10,
1935,-4,
1936,-8,
1937,-1,
1938,-7,
1939,-8,
1940,-5,
1941,-9,
1942,-5,
1943,-1,
1944,-3,
1945,-10,
1946,-8,
1947,-3,
1948,-3,
1949,-4,
1950,-2,
1951,-3,
1952,-3,
1953,-4,
1954,-3,
1955,-4,
1956,-2,
1957,-5,
1958,-5,
1959,-8,
1960,-6,
1961,-1,
1962,-6,
1963,-5,
1964,-5,
1965,-4,
1966,-8,
1967,-4,
1968,-9,
1969,-10,
1970,-7,
1971,-6,
1972,-5,
1973,-1,
1974,-2,
1975,-9,
1976,-8,
1977,-5,
1978,-5,
1979,-4,
1980,-2,
1981,-10,
1982,-2,
1983,-10,
1984,-5,
1985,-10,
1986,-8,
1987,-5,
1988,-10,
1989,-7,
1990,-7,
1991,-10,
1992,-9,
1993,-9,
1994,-7,
1995,-3,
1996,-3,
1997,-7,
1998,-8,
1999,-4,
2000,-2,
