Config Num, Utility
1961,-7,
1962,-10,
1963,-7,
1964,-2,
1965,-8,
1966,-3,
1967,-6,
1968,-4,
1969,-7,
1970,-9,
1971,-10,
1972,-8,
1973,-2,
1974,-4,
1975,-10,
1976,-4,
1977,-10,
1978,-4,
1979,-7,
1980,-4,
1981,-9,
1982,-6,
1983,-4,
1984,-4,
1985,-6,
1986,-7,
1987,-1,
1988,-9,
1989,-4,
1990,-10,
1991,-6,
1992,-4,
1993,-6,
1994,-4,
1995,-9,
1996,-10,
1997,-2,
1998,-2,
1999,-1,
2000,-9,
2001,-4,
2002,-5,
2003,-4,
2004,-9,
2005,-2,
2006,-5,
2007,-3,
2008,-2,
2009,-10,
2010,-8,
2011,-2,
2012,-9,
2013,-5,
2014,-4,
2015,-2,
2016,-7,
2017,-7,
2018,-1,
2019,-4,
2020,-5,
2021,-3,
2022,-6,
2023,-10,
2024,-9,
2025,-9,
2026,-4,
2027,-2,
2028,-10,
2029,-4,
2030,-5,
