Config Num, Utility
1081,-4,
1082,-1,
1083,-2,
1084,-9,
1085,-8,
1086,-5,
1087,-7,
1088,-7,
1089,-4,
1090,-4,
1091,-6,
1092,-2,
1093,-9,
1094,-2,
1095,-5,
1096,-10,
1097,-5,
1098,-5,
1099,-1,
1100,-9,
1101,-4,
1102,-3,
1103,-9,
1104,-2,
1105,-4,
1106,-4,
1107,-4,
1108,-1,
1109,-7,
1110,-10,
1111,-5,
1112,-1,
1113,-4,
1114,-1,
1115,-8,
1116,-3,
1117,-2,
1118,-2,
1119,-2,
1120,-10,
1121,-3,
1122,-8,
1123,-4,
1124,-1,
1125,-9,
1126,-4,
1127,-10,
1128,-6,
1129,-5,
1130,-8,
1131,-4,
1132,-9,
1133,-4,
1134,-4,
1135,-4,
1136,-7,
1137,-4,
1138,-3,
1139,-6,
1140,-10,
1141,-10,
1142,-3,
1143,-1,
1144,-7,
1145,-3,
1146,-6,
1147,-5,
1148,-4,
1149,-7,
1150,-3,
1151,-4,
1152,-5,
1153,-10,
1154,-4,
1155,-10,
1156,-1,
1157,-3,
1158,-7,
1159,-10,
1160,-3,
1161,-7,
1162,-5,
1163,-8,
1164,-10,
1165,-4,
1166,-7,
1167,-2,
1168,-1,
1169,-4,
1170,-4,
