Config Num, Utility
1141,-3,
1142,-10,
1143,-8,
1144,-5,
1145,-9,
1146,-1,
1147,-7,
1148,-5,
1149,-8,
1150,-8,
1151,-7,
1152,-2,
1153,-3,
1154,-10,
1155,-4,
1156,-7,
1157,-5,
1158,-3,
1159,-8,
1160,-10,
1161,-1,
1162,-1,
1163,-10,
1164,-10,
1165,-7,
1166,-5,
1167,-1,
1168,-3,
1169,-3,
1170,-8,
1171,-10,
1172,-3,
1173,-6,
1174,-8,
1175,-6,
1176,-9,
1177,-9,
1178,-5,
1179,-10,
1180,-4,
1181,-1,
1182,-1,
1183,-3,
1184,-2,
1185,-3,
1186,-6,
1187,-3,
1188,-3,
1189,-4,
1190,-4,
1191,-9,
1192,-1,
1193,-7,
1194,-9,
1195,-1,
1196,-4,
1197,-8,
1198,-4,
1199,-9,
1200,-7,
