Config Num, Utility
1901,-1,
1902,-5,
1903,-3,
1904,-4,
1905,-2,
1906,-9,
1907,-2,
1908,-1,
1909,-4,
1910,-8,
1911,-1,
1912,-1,
1913,-5,
1914,-2,
1915,-7,
1916,-9,
1917,-4,
1918,-9,
1919,-7,
1920,-9,
1921,-6,
1922,-5,
1923,-8,
1924,-1,
1925,-4,
1926,-2,
1927,-6,
1928,-8,
1929,-4,
1930,-6,
1931,-3,
1932,-9,
1933,-2,
1934,-6,
1935,-3,
1936,-4,
1937,-9,
1938,-1,
1939,-7,
1940,-9,
1941,-6,
1942,-2,
1943,-9,
1944,-1,
1945,-4,
1946,-5,
1947,-5,
1948,-2,
1949,-1,
1950,-5,
1951,-6,
1952,-3,
1953,-6,
1954,-4,
1955,-2,
1956,-7,
1957,-2,
1958,-6,
1959,-9,
1960,-7,
1961,-4,
1962,-7,
1963,-2,
1964,-2,
1965,-1,
1966,-10,
1967,-10,
1968,-1,
1969,-1,
1970,-10,
1971,-7,
1972,-6,
1973,-7,
1974,-7,
1975,-1,
1976,-4,
1977,-7,
1978,-2,
1979,-1,
1980,-3,
1981,-1,
1982,-2,
1983,-6,
1984,-1,
1985,-6,
1986,-3,
1987,-6,
1988,-6,
1989,-5,
1990,-5,
1991,-6,
1992,-4,
1993,-6,
1994,-8,
1995,-7,
1996,-6,
1997,-8,
1998,-3,
1999,-1,
2000,-3,
