Config Num, Utility
901,-1,
902,-6,
903,-2,
904,-8,
905,-1,
906,-1,
907,-3,
908,-10,
909,-4,
910,-5,
911,-6,
912,-1,
913,-2,
914,-2,
915,-10,
916,-2,
917,-10,
918,-5,
919,-3,
920,-8,
921,-1,
922,-3,
923,-3,
924,-2,
925,-1,
926,-4,
927,-2,
928,-6,
929,-8,
930,-9,
931,-1,
932,-5,
933,-1,
934,-6,
935,-10,
936,-2,
937,-2,
938,-9,
939,-8,
940,-2,
941,-2,
942,-7,
943,-10,
944,-3,
945,-7,
946,-9,
947,-3,
948,-3,
949,-7,
950,-9,
951,-3,
952,-8,
953,-1,
954,-4,
955,-6,
956,-7,
957,-8,
958,-5,
959,-1,
960,-9,
