Config Num, Utility
1501,-8,
1502,-8,
1503,-10,
1504,-3,
1505,-5,
1506,-5,
1507,-2,
1508,-8,
1509,-9,
1510,-7,
1511,-9,
1512,-7,
1513,-9,
1514,-9,
1515,-3,
1516,-9,
1517,-9,
1518,-6,
1519,-1,
1520,-1,
1521,-10,
1522,-8,
1523,-1,
1524,-7,
1525,-6,
1526,-7,
1527,-10,
1528,-5,
1529,-4,
1530,-5,
1531,-2,
1532,-5,
1533,-1,
1534,-8,
1535,-7,
1536,-9,
1537,-5,
1538,-4,
1539,-9,
1540,-3,
1541,-5,
1542,-1,
1543,-10,
1544,-8,
1545,-1,
1546,-6,
1547,-3,
1548,-5,
1549,-4,
1550,-2,
1551,-7,
1552,-10,
1553,-2,
1554,-5,
1555,-6,
1556,-6,
1557,-6,
1558,-10,
1559,-6,
1560,-4,
