Config Num, Utility
1891,-6,
1892,-1,
1893,-7,
1894,-8,
1895,-8,
1896,-1,
1897,-6,
1898,-6,
1899,-9,
1900,-9,
1901,-10,
1902,-6,
1903,-4,
1904,-1,
1905,-1,
1906,-9,
1907,-8,
1908,-8,
1909,-1,
1910,-10,
1911,-6,
1912,-3,
1913,-2,
1914,-9,
1915,-1,
1916,-5,
1917,-4,
1918,-3,
1919,-10,
1920,-8,
1921,-4,
1922,-9,
1923,-1,
1924,-3,
1925,-6,
1926,-2,
1927,-6,
1928,-9,
1929,-5,
1930,-3,
1931,-3,
1932,-8,
1933,-5,
1934,-1,
1935,-5,
1936,-10,
1937,-9,
1938,-1,
1939,-7,
1940,-7,
1941,-2,
1942,-2,
1943,-8,
1944,-4,
1945,-8,
1946,-4,
1947,-1,
1948,-6,
1949,-7,
1950,-3,
1951,-5,
1952,-6,
1953,-6,
1954,-9,
1955,-7,
1956,-7,
1957,-4,
1958,-2,
1959,-6,
1960,-6,
1961,-7,
1962,-9,
1963,-4,
1964,-7,
1965,-8,
1966,-6,
1967,-9,
1968,-6,
1969,-8,
1970,-3,
1971,-10,
1972,-10,
1973,-9,
1974,-10,
1975,-8,
1976,-1,
1977,-2,
1978,-3,
1979,-2,
1980,-9,
