Config Num, Utility
2611,-4,
2612,-8,
2613,-6,
2614,-4,
2615,-10,
2616,-6,
2617,-4,
2618,-1,
2619,-8,
2620,-4,
2621,-6,
2622,-10,
2623,-2,
2624,-3,
2625,-5,
2626,-5,
2627,-3,
2628,-1,
2629,-8,
2630,-2,
2631,-8,
2632,-8,
2633,-3,
2634,-1,
2635,-3,
2636,-10,
2637,-3,
2638,-7,
2639,-5,
2640,-2,
2641,-3,
2642,-2,
2643,-1,
2644,-2,
2645,-10,
2646,-9,
2647,-3,
2648,-1,
2649,-5,
2650,-2,
2651,-3,
2652,-9,
2653,-9,
2654,-7,
2655,-8,
2656,-7,
2657,-4,
2658,-8,
2659,-2,
2660,-5,
2661,-1,
2662,-1,
2663,-4,
2664,-2,
2665,-10,
2666,-2,
2667,-4,
2668,-4,
2669,-4,
2670,-2,
2671,-1,
2672,-9,
2673,-5,
2674,-4,
2675,-2,
2676,-9,
2677,-1,
2678,-3,
2679,-8,
2680,-5,
2681,-7,
2682,-8,
2683,-8,
2684,-4,
2685,-8,
2686,-4,
2687,-6,
2688,-10,
2689,-2,
2690,-6,
2691,-3,
2692,-7,
2693,-10,
2694,-6,
2695,-5,
2696,-4,
2697,-9,
2698,-8,
2699,-8,
2700,-4,
