Configuration, ObservableConfiguration, Cost
951,381,10000,
951,382,10000,
951,383,10000,
951,384,10000,
951,385,87,
951,386,10000,
951,387,26,
951,388,14,
951,389,50,
951,390,10000,
951,391,87,
951,392,10000,
951,393,10000,
951,394,10000,
951,395,10000,
951,396,10000,
951,397,10000,
951,398,87,
951,399,97,
951,400,10000,
952,381,10000,
952,382,95,
952,383,10000,
952,384,10000,
952,385,15,
952,386,10000,
952,387,10000,
952,388,80,
952,389,10000,
952,390,63,
952,391,95,
952,392,39,
952,393,19,
952,394,86,
952,395,65,
952,396,10000,
952,397,74,
952,398,10000,
952,399,82,
952,400,53,
953,381,10000,
953,382,10000,
953,383,94,
953,384,10000,
953,385,50,
953,386,10000,
953,387,8,
953,388,24,
953,389,10000,
953,390,25,
953,391,10000,
953,392,10000,
953,393,58,
953,394,10000,
953,395,22,
953,396,16,
953,397,26,
953,398,10000,
953,399,30,
953,400,36,
954,381,70,
954,382,10000,
954,383,75,
954,384,65,
954,385,10000,
954,386,10000,
954,387,10000,
954,388,88,
954,389,10000,
954,390,63,
954,391,10000,
954,392,47,
954,393,26,
954,394,13,
954,395,10000,
954,396,10000,
954,397,80,
954,398,10000,
954,399,71,
954,400,10000,
955,381,10000,
955,382,10000,
955,383,10000,
955,384,10000,
955,385,10000,
955,386,4,
955,387,10000,
955,388,10000,
955,389,10000,
955,390,10000,
955,391,10000,
955,392,41,
955,393,10000,
955,394,27,
955,395,10000,
955,396,48,
955,397,86,
955,398,10000,
955,399,85,
955,400,38,
956,381,10000,
956,382,84,
956,383,48,
956,384,11,
956,385,75,
956,386,10000,
956,387,22,
956,388,88,
956,389,10000,
956,390,83,
956,391,41,
956,392,10000,
956,393,23,
956,394,82,
956,395,10000,
956,396,10000,
956,397,83,
956,398,47,
956,399,34,
956,400,35,
957,381,44,
957,382,10000,
957,383,63,
957,384,60,
957,385,20,
957,386,10000,
957,387,9,
957,388,43,
957,389,10000,
957,390,30,
957,391,10000,
957,392,35,
957,393,35,
957,394,10000,
957,395,10000,
957,396,20,
957,397,10000,
957,398,73,
957,399,10000,
957,400,10000,
958,381,10000,
958,382,70,
958,383,10000,
958,384,16,
958,385,10000,
958,386,10000,
958,387,10000,
958,388,10000,
958,389,55,
958,390,48,
958,391,10000,
958,392,66,
958,393,41,
958,394,10000,
958,395,10000,
958,396,10000,
958,397,81,
958,398,10000,
958,399,10000,
958,400,73,
959,381,68,
959,382,10000,
959,383,63,
959,384,10000,
959,385,10000,
959,386,85,
959,387,69,
959,388,10000,
959,389,10000,
959,390,46,
959,391,10000,
959,392,25,
959,393,70,
959,394,74,
959,395,88,
959,396,10000,
959,397,10000,
959,398,10000,
959,399,10000,
959,400,56,
960,381,48,
960,382,10000,
960,383,42,
960,384,97,
960,385,61,
960,386,41,
960,387,70,
960,388,50,
960,389,40,
960,390,10000,
960,391,10000,
960,392,10000,
960,393,29,
960,394,83,
960,395,87,
960,396,10,
960,397,10000,
960,398,10000,
960,399,10000,
960,400,10000,
961,381,10000,
961,382,10000,
961,383,10000,
961,384,81,
961,385,30,
961,386,10000,
961,387,10000,
961,388,98,
961,389,44,
961,390,38,
961,391,54,
961,392,10000,
961,393,1,
961,394,10000,
961,395,10000,
961,396,10000,
961,397,75,
961,398,10000,
961,399,10000,
961,400,33,
962,381,10000,
962,382,10000,
962,383,10000,
962,384,41,
