Observable Num, Coverable Configurations
121,245-246-247-249-250-251-255-256-258-260-,
122,244-249-252-253-255-256-258-259-260-,
123,242-243-245-247-248-249-250-252-255-260-,
124,242-245-246-247-253-254-,
125,241-242-244-247-249-250-251-253-255-256-257-258-,
126,241-246-247-250-255-257-259-,
127,241-243-244-247-249-250-252-253-254-255-256-257-260-,
128,242-243-244-248-249-250-253-254-255-258-260-,
129,241-242-243-245-246-249-250-255-256-258-259-260-,
130,241-244-245-246-248-249-251-252-254-255-258-260-,
