Observable Num, Coverable Configurations
241,725-729-732-733-734-736-739-742-743-745-747-749-750-,
242,722-723-724-725-726-728-730-731-732-734-735-736-737-738-742-744-745-746-747-748-749-,
243,722-723-724-728-729-731-733-734-743-744-747-,
244,721-723-725-726-727-730-732-733-734-736-737-739-741-743-744-745-746-747-748-,
245,721-723-724-726-729-730-731-732-733-734-735-737-739-740-742-750-,
246,721-726-727-728-732-734-735-738-740-742-750-,
247,724-725-726-730-731-732-734-735-736-738-739-740-741-742-743-746-747-748-749-,
248,721-723-727-729-730-733-735-741-745-746-747-749-750-,
249,721-724-725-726-727-730-731-732-733-734-737-738-739-741-744-745-749-,
250,721-726-727-729-730-731-732-733-735-741-742-747-749-750-,
