Observable Num, Coverable Configurations
261,655-657-658-663-668-670-672-673-674-675-676-677-678-681-682-687-688-690-695-697-698-,
262,651-653-654-655-662-664-677-678-679-681-684-685-689-690-694-697-698-,
263,652-660-664-667-670-671-673-676-677-679-681-683-684-685-687-689-697-698-700-,
264,651-655-659-660-662-665-667-669-671-674-675-676-677-678-679-684-687-689-690-696-698-699-,
265,651-653-655-657-658-659-660-662-664-665-667-671-672-673-674-676-677-680-682-683-685-686-687-691-693-695-698-700-,
266,651-652-655-656-657-660-664-665-666-667-669-670-672-674-675-676-677-679-680-683-685-687-689-691-693-694-700-,
267,651-655-657-658-659-662-666-671-672-676-677-679-680-687-688-692-693-694-696-697-698-699-700-,
268,652-654-656-657-659-661-662-663-664-665-666-668-672-673-674-676-677-678-679-680-682-683-687-688-691-693-694-695-696-698-,
269,651-652-653-654-655-657-658-663-664-666-667-668-670-672-673-677-678-679-686-687-688-690-692-693-694-697-699-,
270,652-653-654-658-660-661-663-668-669-670-674-678-679-680-681-683-684-685-689-690-691-692-693-695-696-697-698-699-,
271,654-655-656-657-658-663-666-668-670-672-673-675-676-677-678-679-680-681-682-684-687-688-691-692-693-,
272,652-653-655-657-660-661-663-664-666-669-672-674-677-679-680-681-682-685-688-689-691-695-696-698-,
273,653-655-656-657-661-662-665-666-669-670-671-672-676-679-681-682-684-686-690-695-,
274,653-654-655-658-659-661-663-664-667-668-671-672-673-678-679-681-682-685-686-689-691-693-695-698-699-,
275,651-652-654-655-658-659-662-663-664-667-669-673-674-677-678-679-680-694-695-699-700-,
276,651-652-653-654-656-660-661-668-669-673-677-678-679-680-681-684-686-690-692-694-700-,
277,652-654-658-660-663-665-666-668-669-670-672-675-676-677-678-679-680-682-685-686-687-688-689-690-691-695-697-699-,
278,651-654-656-660-661-668-670-672-680-681-683-686-687-691-693-694-695-696-698-699-700-,
279,651-653-654-655-656-657-662-663-664-666-668-670-671-672-674-679-682-683-684-685-689-694-697-698-699-,
280,656-657-662-664-665-667-668-670-671-675-677-678-679-684-686-687-691-692-693-695-696-699-,
