Observable Num, Coverable Configurations
201,501-502-503-504-505-510-511-512-515-517-518-519-520-523-524-525-532-533-534-536-538-539-540-545-546-547-548-,
202,501-505-506-508-510-511-512-514-516-518-521-523-524-527-528-532-533-535-537-538-539-540-544-546-547-548-,
203,502-504-506-508-509-510-512-513-516-517-518-521-523-524-526-528-529-534-538-540-541-548-549-550-,
204,502-504-505-507-508-511-513-514-515-517-519-523-524-526-529-530-532-533-534-535-537-538-540-542-543-544-545-,
205,501-502-504-505-506-507-510-511-512-514-517-519-520-521-523-525-528-530-531-532-533-534-537-541-542-543-544-545-548-,
206,501-502-503-504-507-508-510-513-515-520-522-524-525-529-530-531-532-533-538-541-547-549-550-,
207,503-508-509-510-511-515-516-518-519-524-525-527-528-531-532-533-536-537-538-540-541-544-546-548-549-550-,
208,501-502-503-504-505-506-508-512-513-514-515-517-520-521-522-524-526-527-530-532-535-538-540-544-546-547-,
209,502-504-507-509-510-511-513-514-517-518-519-520-521-523-525-527-529-531-534-535-536-538-539-540-543-545-546-548-,
210,502-503-504-506-508-513-515-517-524-527-529-530-531-537-539-540-541-543-545-546-547-549-550-,
211,503-505-508-509-510-513-516-519-520-521-527-529-536-537-539-541-542-544-545-548-549-,
212,501-502-504-506-509-512-513-514-515-517-518-519-520-522-524-525-526-528-530-531-532-533-534-537-538-543-544-545-546-547-548-,
213,502-503-505-509-514-515-517-518-520-523-524-530-533-535-537-538-540-541-543-545-546-548-,
214,501-502-504-511-514-515-516-517-519-520-522-523-524-527-528-529-530-531-533-536-537-543-548-549-,
215,501-502-504-505-507-508-511-516-519-522-523-524-525-530-531-533-534-535-538-540-541-543-544-545-548-549-,
216,501-505-508-511-512-515-516-517-519-521-523-524-525-526-527-531-532-533-534-535-536-537-538-540-542-544-546-547-548-549-,
217,501-504-506-507-508-511-513-514-516-520-524-525-526-527-528-529-532-533-534-535-537-541-548-550-,
218,502-503-504-505-506-512-516-517-520-522-523-525-526-529-532-533-534-535-536-538-541-542-544-547-548-549-,
219,502-505-509-510-512-513-514-515-516-520-522-523-525-527-528-530-531-533-534-536-539-542-543-544-546-548-549-,
220,502-506-508-509-513-514-518-520-523-524-529-532-536-538-539-540-541-544-546-550-,
