Observable Num, Coverable Configurations
121,501-502-503-505-515-516-518-520-523-524-526-527-531-532-533-537-539-540-544-549-550-,
122,501-502-503-507-509-510-511-512-513-523-525-526-527-534-535-536-537-539-540-542-545-546-548-549-550-,
123,506-507-511-513-517-518-520-523-524-525-527-528-530-533-536-537-540-541-542-544-545-547-548-549-,
124,501-505-506-507-508-511-513-517-518-519-520-523-524-525-528-534-536-537-538-544-546-547-548-,
125,501-502-503-505-507-508-510-515-516-518-519-524-526-531-532-539-541-547-549-,
126,501-502-503-505-506-508-509-510-511-513-516-517-523-524-530-532-534-535-544-545-547-548-550-,
127,503-504-505-506-510-511-512-513-514-519-520-521-524-525-526-528-529-531-532-533-534-537-539-540-541-543-544-545-546-548-549-,
128,501-503-505-506-507-511-512-513-514-515-518-522-523-524-525-532-533-535-536-538-540-541-544-546-549-,
129,501-503-508-513-514-517-518-520-522-524-525-527-529-530-531-532-538-539-541-544-545-547-548-549-,
130,504-505-506-509-510-512-513-514-517-519-520-522-525-526-528-529-531-533-534-535-545-547-,
131,503-504-505-506-507-508-510-515-516-519-521-522-524-525-527-529-530-533-535-537-538-539-540-542-547-,
132,503-508-510-512-513-514-515-516-519-521-522-523-524-528-532-533-534-537-538-539-541-542-543-544-546-547-548-550-,
