Configuration, ObservableConfiguration, Cost
1351,1216,10000,
1351,1217,10000,
1351,1218,23,
1351,1219,10000,
1351,1220,10000,
1351,1221,98,
1351,1222,10000,
1351,1223,10000,
1351,1224,23,
1351,1225,52,
1351,1226,10000,
1351,1227,40,
1351,1228,10000,
1351,1229,46,
1351,1230,10000,
1351,1231,10000,
1351,1232,10000,
1351,1233,10000,
1351,1234,60,
1351,1235,94,
1351,1236,10000,
1351,1237,66,
1351,1238,25,
1351,1239,10000,
1351,1240,59,
1351,1241,22,
1351,1242,75,
1351,1243,16,
1351,1244,10000,
1351,1245,22,
1351,1246,10000,
1351,1247,10000,
1351,1248,10000,
1351,1249,10000,
1351,1250,10000,
1351,1251,9,
1351,1252,85,
1351,1253,17,
1351,1254,10000,
1351,1255,92,
1351,1256,84,
1351,1257,10000,
1351,1258,10000,
1351,1259,78,
1351,1260,10000,
1352,1216,10000,
1352,1217,10000,
1352,1218,10000,
1352,1219,77,
1352,1220,73,
1352,1221,10000,
1352,1222,70,
1352,1223,10000,
1352,1224,10000,
1352,1225,10000,
1352,1226,10000,
1352,1227,10000,
1352,1228,27,
1352,1229,10000,
1352,1230,60,
1352,1231,29,
1352,1232,10000,
1352,1233,10000,
1352,1234,10000,
1352,1235,10000,
1352,1236,89,
1352,1237,10000,
1352,1238,10000,
1352,1239,100,
1352,1240,10000,
1352,1241,100,
1352,1242,10000,
1352,1243,10000,
1352,1244,10000,
1352,1245,87,
1352,1246,10000,
1352,1247,10000,
1352,1248,66,
1352,1249,10000,
1352,1250,10000,
1352,1251,47,
1352,1252,56,
1352,1253,22,
1352,1254,10000,
1352,1255,7,
1352,1256,92,
1352,1257,10000,
1352,1258,10000,
1352,1259,36,
1352,1260,10000,
1353,1216,63,
1353,1217,10000,
1353,1218,63,
1353,1219,44,
1353,1220,10000,
1353,1221,27,
1353,1222,10000,
1353,1223,74,
1353,1224,21,
1353,1225,5,
1353,1226,10000,
1353,1227,8,
1353,1228,7,
1353,1229,81,
1353,1230,10000,
1353,1231,10000,
1353,1232,65,
1353,1233,54,
1353,1234,10000,
1353,1235,10000,
1353,1236,86,
1353,1237,45,
1353,1238,10000,
1353,1239,100,
1353,1240,59,
1353,1241,10000,
1353,1242,10000,
1353,1243,22,
1353,1244,10000,
1353,1245,10000,
1353,1246,10000,
1353,1247,10000,
1353,1248,10000,
1353,1249,15,
1353,1250,53,
1353,1251,80,
1353,1252,51,
1353,1253,45,
1353,1254,10000,
1353,1255,10,
1353,1256,10000,
1353,1257,10000,
1353,1258,10000,
1353,1259,72,
1353,1260,36,
1354,1216,10000,
1354,1217,10000,
1354,1218,10000,
1354,1219,53,
1354,1220,10000,
1354,1221,7,
1354,1222,10000,
1354,1223,10000,
1354,1224,10000,
1354,1225,10000,
1354,1226,10000,
1354,1227,10000,
1354,1228,30,
1354,1229,10000,
1354,1230,7,
1354,1231,10000,
1354,1232,10,
1354,1233,5,
1354,1234,10000,
1354,1235,10000,
1354,1236,10000,
1354,1237,48,
1354,1238,10000,
1354,1239,10000,
1354,1240,85,
1354,1241,30,
1354,1242,83,
1354,1243,26,
1354,1244,89,
1354,1245,74,
1354,1246,70,
1354,1247,10000,
1354,1248,88,
1354,1249,89,
1354,1250,21,
1354,1251,10000,
1354,1252,10000,
1354,1253,10000,
1354,1254,10000,
1354,1255,10000,
1354,1256,35,
1354,1257,10000,
1354,1258,10000,
1354,1259,74,
1354,1260,48,
1355,1216,35,
1355,1217,66,
1355,1218,10000,
1355,1219,46,
1355,1220,10000,
1355,1221,65,
1355,1222,10000,
1355,1223,10000,
1355,1224,25,
1355,1225,87,
1355,1226,10000,
1355,1227,3,
1355,1228,10000,
1355,1229,23,
1355,1230,27,
1355,1231,10000,
1355,1232,28,
1355,1233,10000,
1355,1234,28,
1355,1235,46,
1355,1236,10000,
1355,1237,10000,
1355,1238,82,
1355,1239,10000,
1355,1240,29,
1355,1241,20,
1355,1242,10000,
1355,1243,24,
1355,1244,10000,
1355,1245,10000,
1355,1246,10000,
1355,1247,13,
1355,1248,56,
1355,1249,2,
1355,1250,10000,
1355,1251,77,
1355,1252,10000,
1355,1253,23,
1355,1254,69,
1355,1255,10000,
1355,1256,10000,
1355,1257,78,
1355,1258,10000,
1355,1259,10000,
1355,1260,10000,
1356,1216,59,
1356,1217,67,
1356,1218,18,
1356,1219,10000,
1356,1220,7,
1356,1221,10000,
1356,1222,34,
1356,1223,60,
1356,1224,93,
1356,1225,10000,
1356,1226,10000,
1356,1227,10000,
1356,1228,10000,
1356,1229,10000,
1356,1230,7,
1356,1231,10000,
1356,1232,35,
1356,1233,10000,
1356,1234,16,
1356,1235,67,
1356,1236,10000,
1356,1237,10000,
1356,1238,10000,
1356,1239,96,
1356,1240,10000,
1356,1241,10000,
1356,1242,10000,
1356,1243,10000,
1356,1244,10000,
1356,1245,10000,
1356,1246,21,
1356,1247,10000,
1356,1248,10000,
1356,1249,10000,
1356,1250,10000,
1356,1251,27,
1356,1252,10000,
1356,1253,10000,
1356,1254,10000,
1356,1255,26,
1356,1256,9,
1356,1257,65,
1356,1258,96,
1356,1259,58,
1356,1260,38,
1357,1216,10000,
1357,1217,67,
1357,1218,72,
1357,1219,76,
1357,1220,10000,
1357,1221,13,
1357,1222,98,
1357,1223,10000,
1357,1224,10000,
1357,1225,56,
1357,1226,10000,
1357,1227,10000,
1357,1228,10000,
1357,1229,56,
1357,1230,10000,
1357,1231,87,
1357,1232,10000,
1357,1233,10000,
1357,1234,89,
1357,1235,71,
1357,1236,10000,
1357,1237,10000,
1357,1238,61,
1357,1239,10000,
1357,1240,82,
1357,1241,10000,
1357,1242,10000,
1357,1243,10000,
1357,1244,81,
1357,1245,10000,
1357,1246,10000,
1357,1247,17,
1357,1248,61,
1357,1249,10000,
1357,1250,10000,
1357,1251,77,
1357,1252,15,
1357,1253,10000,
1357,1254,66,
1357,1255,10000,
1357,1256,51,
1357,1257,29,
1357,1258,98,
1357,1259,10000,
