Observable Num, Coverable Configurations
481,482-484-488-490-492-493-496-497-498-,
482,481-484-486-489-490-491-495-496-500-,
483,482-483-484-485-486-488-489-490-493-497-499-,
484,482-483-485-487-491-492-493-494-499-500-,
485,482-484-485-491-493-495-496-498-500-,
486,483-485-487-488-497-498-,
487,481-483-484-486-487-488-491-492-495-496-497-498-499-,
488,481-482-483-485-487-490-491-493-497-500-,
489,481-482-484-485-487-489-494-496-498-,
490,482-483-484-485-486-487-489-492-493-494-495-496-497-499-500-,
491,482-483-485-486-488-489-491-492-494-496-497-500-,
492,483-484-486-487-489-492-494-496-498-499-500-,
493,483-485-486-488-489-490-491-493-494-495-498-499-,
494,485-486-488-491-493-496-497-498-499-,
495,484-486-488-492-493-495-497-498-500-,
496,482-483-487-489-491-493-494-495-496-497-499-,
497,484-485-493-496-497-498-,
498,481-482-483-485-487-492-495-496-499-500-,
499,485-487-488-490-491-492-494-495-498-,
500,482-483-486-487-488-490-491-492-494-496-497-500-,
