Observable Num, Coverable Configurations
461,462-463-464-470-474-475-476-479-,
462,461-464-465-467-468-471-472-474-476-477-478-479-,
463,461-464-465-466-467-469-472-473-475-476-477-,
464,461-464-465-467-469-472-473-474-475-477-478-480-,
465,461-463-464-465-469-471-472-473-474-475-476-,
466,461-463-464-465-466-471-476-478-,
467,461-462-463-465-467-469-470-471-478-479-480-,
468,464-467-468-470-472-474-475-476-478-480-,
469,461-462-463-469-478-479-480-,
470,461-463-465-467-472-474-475-478-,
471,461-462-464-466-469-470-471-475-478-480-,
472,462-463-465-466-467-468-469-471-473-474-478-,
473,461-464-466-469-472-473-474-476-477-479-480-,
474,462-466-468-471-474-478-480-,
475,461-462-464-465-466-467-470-473-474-475-477-478-,
476,462-463-464-470-471-472-473-475-,
477,461-464-466-467-468-473-476-480-,
478,461-462-463-464-465-466-467-468-470-471-473-477-478-479-,
479,462-466-467-468-469-472-474-475-476-477-478-,
480,461-462-463-468-469-470-471-474-475-477-478-479-480-,
