System Num, Configuration
851,1707,
852,1757,
853,1725,
854,1772,
855,1744,
856,1706,
857,1781,
858,1705,
859,1705,
860,1759,
861,1716,
862,1715,
863,1752,
864,1771,
865,1799,
866,1762,
867,1761,
868,1765,
869,1717,
870,1769,
871,1792,
872,1755,
873,1713,
874,1722,
875,1711,
876,1767,
877,1741,
878,1733,
879,1703,
880,1708,
881,1702,
882,1757,
883,1800,
884,1737,
885,1741,
886,1715,
887,1754,
888,1727,
889,1714,
890,1789,
891,1718,
892,1794,
893,1792,
894,1704,
895,1758,
896,1730,
897,1765,
898,1743,
899,1706,
900,1725,
