System Num, Configuration
951,1944,
952,1902,
953,1930,
954,1939,
955,1922,
956,1912,
957,1978,
958,1901,
959,1953,
960,1910,
961,1906,
962,1979,
963,1953,
964,1908,
965,1945,
966,1940,
967,1988,
968,1985,
969,1981,
970,1977,
971,1975,
972,1990,
973,1957,
974,1992,
975,1954,
976,1936,
977,1936,
978,1932,
979,1951,
980,1990,
981,1927,
982,1901,
983,1991,
984,1964,
985,1975,
986,1991,
987,1977,
988,1917,
989,1946,
990,1970,
991,2000,
992,1911,
993,1956,
994,1915,
995,1976,
996,1936,
997,1977,
998,1974,
999,1952,
1000,1931,
