System Num, Configuration
751,1584,
752,1592,
753,1539,
754,1549,
755,1523,
756,1536,
757,1562,
758,1588,
759,1518,
760,1527,
761,1524,
762,1594,
763,1583,
764,1548,
765,1536,
766,1582,
767,1573,
768,1564,
769,1555,
770,1550,
771,1514,
772,1505,
773,1581,
774,1543,
775,1571,
776,1571,
777,1571,
778,1529,
779,1562,
780,1515,
781,1590,
782,1588,
783,1530,
784,1572,
785,1547,
786,1596,
787,1539,
788,1569,
789,1519,
790,1540,
791,1531,
792,1558,
793,1585,
794,1565,
795,1580,
796,1567,
797,1567,
798,1566,
799,1567,
800,1527,
