System Num, Configuration
1201,2479,
1202,2491,
1203,2472,
1204,2464,
1205,2430,
1206,2410,
1207,2451,
1208,2484,
1209,2496,
1210,2401,
1211,2484,
1212,2414,
1213,2458,
1214,2487,
1215,2429,
1216,2450,
1217,2478,
1218,2455,
1219,2485,
1220,2405,
1221,2467,
1222,2491,
1223,2490,
1224,2447,
1225,2497,
1226,2449,
1227,2496,
1228,2457,
1229,2485,
1230,2430,
1231,2453,
1232,2465,
1233,2438,
1234,2449,
1235,2454,
1236,2477,
1237,2431,
1238,2441,
1239,2496,
1240,2474,
1241,2461,
1242,2499,
1243,2433,
1244,2498,
1245,2434,
1246,2423,
1247,2493,
1248,2425,
1249,2468,
1250,2418,
