System Num, Configuration
1151,2377,
1152,2397,
1153,2332,
1154,2354,
1155,2347,
1156,2312,
1157,2310,
1158,2375,
1159,2397,
1160,2375,
1161,2373,
1162,2313,
1163,2350,
1164,2396,
1165,2349,
1166,2379,
1167,2378,
1168,2333,
1169,2346,
1170,2376,
1171,2391,
1172,2343,
1173,2399,
1174,2341,
1175,2324,
1176,2309,
1177,2348,
1178,2362,
1179,2335,
1180,2381,
1181,2325,
1182,2320,
1183,2385,
1184,2377,
1185,2349,
1186,2306,
1187,2342,
1188,2351,
1189,2313,
1190,2363,
1191,2321,
1192,2341,
1193,2358,
1194,2329,
1195,2384,
1196,2335,
1197,2363,
1198,2373,
1199,2400,
1200,2391,
