System Num, Configuration
1251,2502,
1252,2593,
1253,2584,
1254,2550,
1255,2594,
1256,2592,
1257,2540,
1258,2589,
1259,2598,
1260,2517,
1261,2505,
1262,2569,
1263,2584,
1264,2537,
1265,2529,
1266,2591,
1267,2588,
1268,2585,
1269,2571,
1270,2508,
1271,2513,
1272,2540,
1273,2583,
1274,2525,
1275,2536,
1276,2527,
1277,2533,
1278,2578,
1279,2507,
1280,2551,
1281,2580,
1282,2579,
1283,2516,
1284,2519,
1285,2544,
1286,2515,
1287,2550,
1288,2507,
1289,2573,
1290,2561,
1291,2505,
1292,2540,
1293,2588,
1294,2564,
1295,2551,
1296,2530,
1297,2535,
1298,2514,
1299,2518,
1300,2548,
