System Num, Configuration
1101,2267,
1102,2243,
1103,2219,
1104,2210,
1105,2208,
1106,2295,
1107,2281,
1108,2229,
1109,2285,
1110,2286,
1111,2285,
1112,2249,
1113,2300,
1114,2272,
1115,2285,
1116,2278,
1117,2256,
1118,2270,
1119,2233,
1120,2259,
1121,2292,
1122,2280,
1123,2257,
1124,2224,
1125,2279,
1126,2278,
1127,2223,
1128,2243,
1129,2299,
1130,2251,
1131,2221,
1132,2274,
1133,2286,
1134,2288,
1135,2276,
1136,2213,
1137,2272,
1138,2274,
1139,2244,
1140,2254,
1141,2299,
1142,2280,
1143,2224,
1144,2205,
1145,2242,
1146,2207,
1147,2250,
1148,2285,
1149,2228,
1150,2267,
