System Num, Configuration
701,1465,
702,1477,
703,1439,
704,1494,
705,1420,
706,1483,
707,1486,
708,1485,
709,1429,
710,1499,
711,1466,
712,1449,
713,1455,
714,1484,
715,1424,
716,1415,
717,1434,
718,1491,
719,1496,
720,1414,
721,1437,
722,1439,
723,1440,
724,1495,
725,1451,
726,1488,
727,1495,
728,1499,
729,1436,
730,1480,
731,1409,
732,1452,
733,1457,
734,1469,
735,1475,
736,1429,
737,1408,
738,1442,
739,1479,
740,1452,
741,1471,
742,1441,
743,1493,
744,1429,
745,1456,
746,1482,
747,1449,
748,1453,
749,1474,
750,1402,
