Observable Num, Coverable Configurations
145,451-452-455-457-459-460-464-466-467-469-470-471-472-473-476-477-481-482-483-485-488-489-491-492-494-497-498-499-,
146,451-452-453-455-456-460-461-462-463-465-467-468-469-470-471-472-473-477-478-482-485-488-489-492-494-495-497-498-499-,
147,451-453-455-457-460-462-465-467-469-474-475-478-480-482-485-486-487-489-490-493-494-495-497-499-,
148,451-455-458-459-461-467-468-469-472-473-475-476-479-480-483-484-485-489-490-492-495-498-,
149,452-457-460-461-462-464-466-467-470-471-473-475-477-478-480-481-484-485-486-489-490-491-492-494-495-496-500-,
150,451-452-455-456-457-463-464-466-467-468-469-471-472-473-476-479-481-483-484-485-487-488-493-495-497-499-500-,
151,451-452-454-455-458-460-462-464-471-476-478-479-481-484-485-487-488-491-493-497-498-499-,
152,451-453-454-455-462-465-466-467-468-469-476-477-478-479-483-484-485-487-488-489-491-492-494-497-500-,
153,455-456-457-460-461-463-464-465-466-469-472-476-477-478-481-483-486-490-491-494-497-498-,
154,454-455-457-460-463-464-465-466-468-469-471-472-473-475-476-479-480-481-486-487-489-494-495-500-,
155,451-453-457-461-462-463-464-465-468-470-471-473-474-477-480-481-485-487-489-490-491-492-495-496-497-499-500-,
156,451-453-457-458-460-465-467-469-470-473-475-476-478-479-480-483-484-486-487-488-490-494-495-498-499-,
157,452-453-455-456-457-458-459-463-464-466-468-469-472-473-474-475-481-482-484-485-486-487-495-497-,
158,451-460-462-463-464-465-467-468-469-474-475-478-479-481-484-488-490-492-493-497-498-499-,
159,457-459-461-463-465-466-470-472-473-475-476-479-480-491-492-493-494-497-498-499-,
160,456-458-460-463-464-465-466-469-470-471-472-473-474-477-479-481-485-486-489-493-495-496-497-499-,
