Observable Num, Coverable Configurations
1,2-3-4-5-6-7-11-14-18-20-22-25-27-29-30-31-36-43-44-45-47-49-50-,
2,2-3-6-8-10-13-17-18-19-20-21-23-24-27-30-31-33-34-35-36-37-38-39-43-44-47-50-,
3,1-2-3-4-5-6-7-9-10-12-13-14-15-20-21-22-23-24-25-29-34-36-40-43-45-49-,
4,2-3-5-7-8-11-12-13-14-17-23-26-27-29-31-33-37-42-47-48-,
5,1-3-7-10-12-13-14-17-20-21-22-23-25-26-31-33-35-39-40-41-42-43-45-47-48-50-,
6,3-5-9-10-11-13-16-19-20-22-24-27-28-29-30-31-32-36-37-38-39-40-42-44-45-46-47-48-,
7,2-3-4-5-7-9-11-13-15-19-20-21-23-24-25-27-28-30-42-44-45-47-50-,
8,8-13-15-16-18-20-24-27-28-30-31-33-34-35-36-38-44-48-49-,
9,1-2-3-5-8-9-12-15-17-20-21-23-24-26-32-34-35-37-38-44-45-46-,
10,3-4-5-12-16-18-19-25-26-28-29-30-32-34-38-40-41-44-46-,
