Observable Num, Coverable Configurations
561,563-564-565-568-569-570-571-574-575-579-580-,
562,562-565-569-572-573-574-575-578-580-,
563,562-565-567-568-569-572-575-,
564,562-565-568-569-573-575-576-577-,
565,563-564-566-568-573-576-580-,
566,561-562-563-564-567-569-570-575-578-579-580-,
567,561-562-565-568-570-571-573-574-575-576-577-579-580-,
568,561-562-563-565-569-570-572-574-577-578-579-580-,
569,564-566-567-568-570-571-572-575-579-580-,
570,561-562-564-566-567-568-569-570-572-577-578-,
571,561-567-570-572-573-575-576-578-579-,
572,564-568-575-580-,
573,561-563-565-566-569-571-572-574-575-576-577-580-,
574,561-564-568-570-571-575-576-578-579-580-,
575,561-563-566-567-568-569-570-571-572-574-575-576-577-,
576,561-562-564-565-567-568-570-571-573-575-576-577-579-,
577,561-563-566-567-568-574-575-576-,
578,561-562-563-564-567-569-571-574-575-576-577-,
579,562-566-567-568-571-572-573-,
580,562-564-565-566-567-568-569-570-572-573-575-576-577-579-,
