Observable Num, Coverable Configurations
1,1-7-9-14-18-19-22-23-25-26-28-30-31-34-35-36-40-41-42-43-45-46-,
2,4-6-9-11-17-19-20-21-22-25-27-28-29-30-31-32-35-37-38-40-42-45-49-50-,
3,2-5-6-7-8-10-11-12-15-17-18-19-22-24-25-29-33-34-36-39-42-43-44-45-46-47-50-,
4,1-2-7-11-16-19-20-21-22-23-24-27-31-32-35-37-38-39-42-45-47-48-49-50-,
5,1-2-3-5-7-10-13-15-19-20-21-23-24-26-27-29-30-32-33-35-37-40-43-45-47-50-,
6,1-2-3-5-7-8-10-12-13-15-16-17-19-20-23-24-25-26-28-30-31-32-34-38-40-,
7,3-4-5-6-7-10-11-13-14-16-21-28-30-32-36-38-40-41-44-50-,
8,5-6-7-8-12-13-19-20-21-25-26-28-29-30-32-33-37-38-42-44-45-47-50-,
9,1-2-3-4-5-6-15-20-21-23-26-28-29-30-31-32-33-35-36-37-38-39-41-44-48-50-,
10,3-5-6-13-15-16-17-18-19-20-21-25-30-33-34-36-37-38-39-40-41-42-43-44-45-46-48-49-50-,
11,2-3-4-5-6-7-9-10-12-15-21-22-23-25-28-32-33-37-38-39-40-41-43-46-47-48-49-,
12,1-3-4-5-11-13-16-17-20-21-23-24-26-27-28-32-33-35-37-39-40-42-43-44-46-,
13,1-7-15-17-19-20-21-22-24-26-27-28-29-30-32-34-38-39-40-41-43-47-49-50-,
14,1-2-4-8-9-11-12-13-15-16-18-20-22-23-24-25-33-35-36-37-40-45-48-50-,
15,2-3-5-6-7-10-12-13-14-17-18-19-22-29-30-32-39-40-41-43-44-46-47-49-,
16,1-3-5-6-8-9-10-12-16-18-21-28-32-33-34-35-37-44-45-47-,
