Observable Num, Coverable Configurations
109,452-453-460-461-462-463-464-466-467-468-469-470-472-473-475-477-478-480-481-482-483-485-489-492-493-,
110,451-452-453-454-456-458-461-464-468-473-474-478-479-480-481-486-488-489-492-494-496-,
111,451-454-455-456-458-460-464-467-470-471-473-474-478-480-481-482-483-487-489-490-491-493-495-497-,
112,451-452-453-455-456-457-458-459-463-464-466-467-468-469-471-475-476-478-479-481-482-483-486-487-488-490-492-494-495-496-499-500-,
113,451-453-454-455-457-458-460-462-463-465-467-469-472-473-474-475-476-478-480-483-484-485-486-487-488-489-491-495-498-499-500-,
114,451-452-454-456-462-463-464-465-466-467-469-470-478-480-482-483-484-487-488-493-494-495-496-498-500-,
115,453-455-456-457-460-462-465-468-469-470-471-475-476-477-479-482-485-488-489-490-491-492-493-494-495-499-,
116,452-454-457-459-462-467-468-469-474-476-477-483-486-491-492-493-494-497-498-499-,
117,451-453-456-457-459-460-462-464-468-469-470-472-474-475-478-480-482-483-487-488-491-492-493-494-495-496-499-500-,
118,451-453-454-457-458-459-460-462-463-464-466-467-468-469-471-475-476-477-478-481-483-485-487-488-489-490-491-492-493-494-500-,
119,451-458-459-462-465-466-467-469-473-475-476-478-481-482-484-486-488-490-491-493-494-496-498-499-500-,
120,451-452-453-455-458-459-460-462-463-465-466-472-473-475-476-477-478-479-481-485-487-488-490-496-499-500-,
