Observable Num, Coverable Configurations
169,244-245-246-247-248-249-250-253-256-257-258-260-,
170,245-247-251-252-255-256-257-258-259-260-,
171,242-251-253-255-256-257-259-260-,
172,241-242-244-246-249-250-255-257-259-,
173,243-245-247-250-256-258-259-260-,
174,241-242-243-245-249-250-251-252-254-256-258-260-,
175,241-242-243-247-253-254-256-,
176,242-246-247-248-249-250-251-254-256-260-,
177,241-243-244-248-249-250-252-253-254-256-258-259-,
178,244-246-248-249-251-253-254-257-,
179,243-244-249-251-252-254-255-256-257-,
180,241-242-243-249-251-252-254-256-258-259-,
181,241-242-245-246-248-251-252-254-,
182,241-242-244-245-246-248-250-253-258-260-,
