Observable Num, Coverable Configurations
133,223-224-225-228-232-233-236-238-239-240-,
134,223-226-227-228-230-231-232-233-236-238-,
135,221-224-225-227-228-229-230-238-239-,
136,221-223-228-230-231-232-233-235-236-238-,
137,221-223-224-227-228-229-231-232-235-236-239-,
138,222-228-229-230-231-233-235-236-238-239-,
139,221-225-226-227-229-230-231-232-233-236-237-239-240-,
140,221-222-223-224-227-231-233-234-236-238-,
141,222-223-225-227-238-239-240-,
142,221-224-229-231-232-235-236-237-239-,
143,224-225-229-233-239-240-,
144,221-224-225-226-228-231-235-236-237-238-239-240-,
