Observable Num, Coverable Configurations
193,242-244-248-249-250-252-253-255-256-257-258-259-260-,
194,241-242-245-249-250-252-253-256-258-260-,
195,241-242-245-246-247-248-256-257-,
196,241-244-246-247-248-250-253-254-257-259-,
197,242-243-244-245-246-249-251-252-254-257-258-260-,
198,242-243-246-253-256-257-258-259-260-,
199,242-244-246-249-251-253-255-256-257-,
200,242-244-245-247-249-250-251-252-253-256-257-,
201,244-245-247-250-251-252-255-256-258-,
202,241-242-243-246-247-249-250-252-253-256-257-258-259-,
203,241-242-248-249-250-251-253-254-255-256-257-258-259-260-,
204,241-242-245-246-247-248-249-250-251-252-253-255-256-257-259-260-,
205,242-244-247-250-251-254-255-256-257-259-260-,
206,241-246-250-251-252-254-255-258-260-,
207,241-244-245-246-247-248-250-254-256-257-260-,
208,246-247-248-249-254-256-258-,
