Config Num, Utility
1701,-7,
1702,-6,
1703,-6,
1704,-6,
1705,-2,
1706,-1,
1707,-10,
1708,-4,
1709,-9,
1710,-7,
1711,-4,
1712,-5,
1713,-5,
1714,-7,
1715,-7,
1716,-10,
1717,-3,
1718,-8,
1719,-6,
1720,-9,
1721,-2,
1722,-8,
1723,-3,
1724,-1,
1725,-3,
1726,-3,
1727,-4,
1728,-1,
1729,-9,
1730,-7,
1731,-5,
1732,-1,
1733,-10,
1734,-4,
1735,-10,
1736,-7,
1737,-10,
1738,-4,
1739,-10,
1740,-7,
1741,-6,
1742,-1,
1743,-2,
1744,-10,
1745,-10,
1746,-1,
1747,-6,
1748,-9,
1749,-7,
1750,-2,
1751,-2,
1752,-8,
1753,-6,
1754,-8,
1755,-6,
1756,-9,
1757,-1,
1758,-1,
1759,-5,
1760,-4,
1761,-1,
1762,-8,
1763,-4,
1764,-7,
1765,-6,
1766,-8,
1767,-4,
1768,-7,
1769,-10,
1770,-6,
1771,-3,
1772,-7,
1773,-7,
1774,-5,
1775,-1,
1776,-3,
1777,-5,
1778,-10,
1779,-5,
1780,-6,
1781,-4,
1782,-8,
1783,-9,
1784,-6,
1785,-5,
1786,-5,
1787,-8,
1788,-10,
1789,-4,
1790,-5,
1791,-7,
1792,-5,
1793,-4,
1794,-5,
1795,-4,
1796,-5,
1797,-5,
1798,-8,
1799,-2,
1800,-6,
