Config Num, Utility
901,-10,
902,-8,
903,-10,
904,-2,
905,-5,
906,-4,
907,-6,
908,-9,
909,-7,
910,-10,
911,-7,
912,-8,
913,-9,
914,-3,
915,-1,
916,-1,
917,-3,
918,-4,
919,-1,
920,-1,
921,-5,
922,-10,
923,-3,
924,-5,
925,-4,
926,-7,
927,-10,
928,-4,
929,-4,
930,-5,
931,-2,
932,-9,
933,-10,
934,-6,
935,-3,
936,-7,
937,-2,
938,-7,
939,-10,
940,-6,
941,-5,
942,-3,
943,-1,
944,-9,
945,-5,
946,-4,
947,-1,
948,-6,
949,-6,
950,-5,
951,-8,
952,-4,
953,-1,
954,-5,
955,-4,
956,-8,
957,-2,
958,-7,
959,-2,
960,-7,
961,-6,
962,-3,
963,-7,
964,-10,
965,-9,
966,-4,
967,-1,
968,-3,
969,-6,
970,-2,
971,-6,
972,-5,
973,-7,
974,-9,
975,-1,
976,-2,
977,-8,
978,-7,
979,-6,
980,-2,
981,-5,
982,-3,
983,-8,
984,-7,
985,-7,
986,-4,
987,-1,
988,-4,
989,-2,
990,-7,
991,-6,
992,-2,
993,-6,
994,-1,
995,-3,
996,-5,
997,-3,
998,-3,
999,-10,
1000,-10,
