Config Num, Utility
23451,-3,
23452,-10,
23453,-10,
23454,-10,
23455,-3,
23456,-6,
23457,-4,
23458,-6,
23459,-3,
23460,-4,
23461,-1,
23462,-8,
23463,-5,
23464,-8,
23465,-10,
23466,-5,
23467,-1,
23468,-7,
23469,-3,
23470,-4,
23471,-4,
23472,-6,
23473,-9,
23474,-7,
23475,-7,
23476,-5,
23477,-10,
23478,-6,
23479,-5,
23480,-7,
23481,-6,
23482,-9,
23483,-6,
23484,-9,
23485,-5,
23486,-3,
23487,-6,
23488,-10,
23489,-2,
23490,-5,
23491,-9,
23492,-3,
23493,-7,
23494,-3,
23495,-6,
23496,-2,
23497,-2,
23498,-8,
23499,-2,
23500,-6,
