Config Num, Utility
701,-2,
702,-10,
703,-3,
704,-8,
705,-7,
706,-8,
707,-2,
708,-10,
709,-4,
710,-2,
711,-4,
712,-1,
713,-9,
714,-1,
715,-4,
716,-10,
717,-9,
718,-3,
719,-10,
720,-5,
721,-9,
722,-7,
723,-3,
724,-9,
725,-7,
726,-8,
727,-8,
728,-9,
729,-5,
730,-5,
731,-8,
732,-1,
733,-8,
734,-3,
735,-9,
736,-7,
737,-4,
738,-5,
739,-5,
740,-3,
741,-10,
742,-7,
743,-9,
744,-5,
745,-6,
746,-1,
747,-8,
748,-4,
749,-3,
750,-5,
751,-2,
752,-8,
753,-4,
754,-9,
755,-9,
756,-8,
757,-4,
758,-1,
759,-7,
760,-8,
761,-1,
762,-6,
763,-2,
764,-7,
765,-2,
766,-1,
767,-2,
768,-5,
769,-3,
770,-2,
771,-6,
772,-1,
773,-3,
774,-3,
775,-6,
776,-1,
777,-9,
778,-5,
779,-3,
780,-8,
781,-4,
782,-2,
783,-2,
784,-5,
785,-3,
786,-3,
787,-2,
788,-4,
789,-6,
790,-6,
791,-7,
792,-1,
793,-9,
794,-3,
795,-1,
796,-10,
797,-2,
798,-8,
799,-10,
800,-3,
