Config Num, Utility
23251,-3,
23252,-9,
23253,-9,
23254,-4,
23255,-7,
23256,-10,
23257,-9,
23258,-7,
23259,-7,
23260,-9,
23261,-2,
23262,-5,
23263,-6,
23264,-2,
23265,-2,
23266,-4,
23267,-6,
23268,-10,
23269,-6,
23270,-4,
23271,-10,
23272,-2,
23273,-2,
23274,-7,
23275,-10,
23276,-4,
23277,-8,
23278,-7,
23279,-1,
23280,-1,
23281,-9,
23282,-7,
23283,-9,
23284,-2,
23285,-2,
23286,-10,
23287,-10,
23288,-5,
23289,-8,
23290,-5,
23291,-1,
23292,-4,
23293,-1,
23294,-9,
23295,-5,
23296,-3,
23297,-7,
23298,-9,
23299,-9,
23300,-3,
