Config Num, Utility
16101,-2,
16102,-5,
16103,-3,
16104,-6,
16105,-6,
16106,-7,
16107,-1,
16108,-7,
16109,-5,
16110,-9,
16111,-10,
16112,-8,
16113,-10,
16114,-1,
16115,-5,
16116,-9,
16117,-10,
16118,-7,
16119,-10,
16120,-2,
16121,-6,
16122,-10,
16123,-9,
16124,-1,
16125,-4,
16126,-7,
16127,-8,
16128,-8,
16129,-6,
16130,-7,
16131,-3,
16132,-3,
16133,-10,
16134,-7,
16135,-1,
16136,-9,
16137,-2,
16138,-5,
16139,-5,
16140,-8,
16141,-7,
16142,-4,
16143,-1,
16144,-10,
16145,-1,
16146,-7,
16147,-1,
16148,-1,
16149,-1,
16150,-6,
