Config Num, Utility
1801,-5,
1802,-10,
1803,-3,
1804,-10,
1805,-4,
1806,-5,
1807,-7,
1808,-4,
1809,-9,
1810,-5,
1811,-3,
1812,-8,
1813,-3,
1814,-3,
1815,-7,
1816,-6,
1817,-2,
1818,-6,
1819,-2,
1820,-6,
1821,-8,
1822,-10,
1823,-8,
1824,-4,
1825,-9,
1826,-4,
1827,-4,
1828,-6,
1829,-5,
1830,-6,
1831,-5,
1832,-4,
1833,-1,
1834,-6,
1835,-1,
1836,-8,
1837,-2,
1838,-7,
1839,-7,
1840,-10,
1841,-3,
1842,-10,
1843,-3,
1844,-2,
1845,-6,
1846,-5,
1847,-9,
1848,-3,
1849,-4,
1850,-3,
1851,-3,
1852,-4,
1853,-9,
1854,-1,
1855,-10,
1856,-1,
1857,-4,
1858,-10,
1859,-2,
1860,-2,
1861,-10,
1862,-10,
1863,-9,
1864,-3,
1865,-9,
1866,-9,
1867,-9,
1868,-10,
1869,-8,
1870,-9,
1871,-2,
1872,-4,
1873,-9,
1874,-5,
1875,-1,
1876,-1,
1877,-2,
1878,-10,
1879,-4,
1880,-2,
1881,-5,
1882,-1,
1883,-7,
1884,-5,
1885,-8,
1886,-1,
1887,-6,
1888,-9,
1889,-9,
1890,-5,
1891,-7,
1892,-4,
1893,-4,
1894,-6,
1895,-2,
1896,-5,
1897,-6,
1898,-9,
1899,-5,
1900,-9,
