Config Num, Utility
1601,-10,
1602,-2,
1603,-10,
1604,-3,
1605,-2,
1606,-2,
1607,-10,
1608,-5,
1609,-6,
1610,-4,
1611,-5,
1612,-8,
1613,-7,
1614,-4,
1615,-3,
1616,-5,
1617,-4,
1618,-7,
1619,-8,
1620,-8,
1621,-2,
1622,-9,
1623,-10,
1624,-2,
1625,-8,
1626,-4,
1627,-5,
1628,-5,
1629,-7,
1630,-8,
1631,-2,
1632,-6,
1633,-1,
1634,-1,
1635,-2,
1636,-5,
1637,-10,
1638,-7,
1639,-5,
1640,-3,
1641,-7,
1642,-8,
1643,-4,
1644,-8,
1645,-3,
1646,-6,
1647,-9,
1648,-7,
1649,-2,
1650,-8,
1651,-2,
1652,-10,
1653,-9,
1654,-4,
1655,-10,
1656,-2,
1657,-8,
1658,-2,
1659,-6,
1660,-10,
1661,-8,
1662,-10,
1663,-10,
1664,-10,
1665,-6,
1666,-8,
1667,-9,
1668,-5,
1669,-2,
1670,-9,
1671,-9,
1672,-4,
1673,-8,
1674,-4,
1675,-8,
1676,-6,
1677,-10,
1678,-10,
1679,-6,
1680,-5,
1681,-9,
1682,-8,
1683,-5,
1684,-8,
1685,-4,
1686,-6,
1687,-9,
1688,-10,
1689,-6,
1690,-1,
1691,-6,
1692,-2,
1693,-9,
1694,-9,
1695,-7,
1696,-2,
1697,-4,
1698,-9,
1699,-8,
1700,-1,
