Config Num, Utility
23351,-4,
23352,-1,
23353,-7,
23354,-8,
23355,-6,
23356,-3,
23357,-2,
23358,-8,
23359,-4,
23360,-8,
23361,-8,
23362,-6,
23363,-5,
23364,-9,
23365,-8,
23366,-2,
23367,-3,
23368,-3,
23369,-6,
23370,-1,
23371,-6,
23372,-5,
23373,-7,
23374,-2,
23375,-10,
23376,-2,
23377,-6,
23378,-8,
23379,-7,
23380,-1,
23381,-3,
23382,-7,
23383,-3,
23384,-9,
23385,-5,
23386,-6,
23387,-4,
23388,-10,
23389,-9,
23390,-5,
23391,-9,
23392,-9,
23393,-4,
23394,-2,
23395,-6,
23396,-4,
23397,-8,
23398,-8,
23399,-10,
23400,-3,
