Config Num, Utility
101,-2,
102,-6,
103,-7,
104,-1,
105,-6,
106,-9,
107,-7,
108,-3,
109,-9,
110,-10,
111,-2,
112,-9,
113,-1,
114,-3,
115,-1,
116,-3,
117,-5,
118,-5,
119,-8,
120,-6,
121,-6,
122,-3,
123,-6,
124,-2,
125,-3,
126,-1,
127,-10,
128,-2,
129,-8,
130,-8,
131,-1,
132,-9,
133,-7,
134,-10,
135,-10,
136,-10,
137,-6,
138,-5,
139,-10,
140,-5,
141,-9,
142,-6,
143,-6,
144,-3,
145,-7,
146,-5,
147,-7,
148,-10,
149,-1,
150,-7,
151,-5,
152,-1,
153,-8,
154,-1,
155,-1,
156,-2,
157,-5,
158,-6,
159,-7,
160,-7,
161,-8,
162,-3,
163,-8,
164,-6,
165,-3,
166,-4,
167,-9,
168,-9,
169,-6,
170,-4,
171,-8,
172,-7,
173,-2,
174,-7,
175,-7,
176,-9,
177,-10,
178,-10,
179,-8,
180,-2,
181,-8,
182,-6,
183,-4,
184,-5,
185,-4,
186,-6,
187,-10,
188,-5,
189,-7,
190,-10,
191,-9,
192,-7,
193,-3,
194,-8,
195,-3,
196,-8,
197,-9,
198,-3,
199,-5,
200,-3,
