Config Num, Utility
2401,-1,
2402,-4,
2403,-8,
2404,-2,
2405,-4,
2406,-3,
2407,-9,
2408,-4,
2409,-5,
2410,-5,
2411,-7,
2412,-6,
2413,-6,
2414,-6,
2415,-7,
2416,-9,
2417,-10,
2418,-7,
2419,-4,
2420,-1,
2421,-3,
2422,-7,
2423,-1,
2424,-6,
2425,-7,
2426,-3,
2427,-10,
2428,-9,
2429,-8,
2430,-5,
2431,-3,
2432,-3,
2433,-10,
2434,-3,
2435,-9,
2436,-5,
2437,-6,
2438,-2,
2439,-2,
2440,-8,
2441,-4,
2442,-6,
2443,-2,
2444,-6,
2445,-9,
2446,-7,
2447,-10,
2448,-1,
2449,-2,
2450,-5,
2451,-2,
2452,-3,
2453,-9,
2454,-2,
2455,-4,
2456,-7,
2457,-2,
2458,-4,
2459,-2,
2460,-7,
2461,-6,
2462,-9,
2463,-7,
2464,-6,
2465,-3,
2466,-10,
2467,-5,
2468,-10,
2469,-4,
2470,-2,
2471,-10,
2472,-9,
2473,-6,
2474,-10,
2475,-4,
2476,-3,
2477,-5,
2478,-7,
2479,-10,
2480,-2,
2481,-9,
2482,-8,
2483,-9,
2484,-9,
2485,-4,
2486,-7,
2487,-10,
2488,-3,
2489,-7,
2490,-7,
2491,-6,
2492,-4,
2493,-2,
2494,-4,
2495,-7,
2496,-5,
2497,-1,
2498,-8,
2499,-3,
2500,-8,
