Config Num, Utility
2001,-7,
2002,-1,
2003,-1,
2004,-7,
2005,-3,
2006,-10,
2007,-7,
2008,-5,
2009,-1,
2010,-8,
2011,-1,
2012,-4,
2013,-6,
2014,-1,
2015,-9,
2016,-9,
2017,-9,
2018,-7,
2019,-4,
2020,-7,
2021,-2,
2022,-6,
2023,-5,
2024,-3,
2025,-5,
2026,-3,
2027,-4,
2028,-1,
2029,-9,
2030,-7,
2031,-7,
2032,-5,
2033,-4,
2034,-1,
2035,-8,
2036,-2,
2037,-8,
2038,-3,
2039,-5,
2040,-6,
2041,-10,
2042,-9,
2043,-5,
2044,-7,
2045,-1,
2046,-9,
2047,-4,
2048,-5,
2049,-4,
2050,-9,
2051,-8,
2052,-9,
2053,-9,
2054,-5,
2055,-1,
2056,-2,
2057,-1,
2058,-5,
2059,-3,
2060,-2,
2061,-1,
2062,-7,
2063,-7,
2064,-1,
2065,-1,
2066,-5,
2067,-9,
2068,-3,
2069,-10,
2070,-1,
2071,-8,
2072,-8,
2073,-6,
2074,-4,
2075,-9,
2076,-5,
2077,-10,
2078,-6,
2079,-5,
2080,-6,
2081,-5,
2082,-2,
2083,-10,
2084,-5,
2085,-8,
2086,-7,
2087,-8,
2088,-8,
2089,-2,
2090,-5,
2091,-8,
2092,-4,
2093,-3,
2094,-1,
2095,-7,
2096,-1,
2097,-5,
2098,-1,
2099,-3,
2100,-1,
