Config Num, Utility
1401,-8,
1402,-2,
1403,-9,
1404,-6,
1405,-6,
1406,-7,
1407,-6,
1408,-7,
1409,-4,
1410,-5,
1411,-9,
1412,-1,
1413,-4,
1414,-5,
1415,-4,
1416,-7,
1417,-1,
1418,-5,
1419,-7,
1420,-7,
1421,-3,
1422,-5,
1423,-9,
1424,-5,
1425,-1,
1426,-2,
1427,-10,
1428,-10,
1429,-9,
1430,-7,
1431,-8,
1432,-7,
1433,-10,
1434,-5,
1435,-3,
1436,-7,
1437,-6,
1438,-9,
1439,-9,
1440,-7,
1441,-7,
1442,-6,
1443,-7,
1444,-5,
1445,-3,
1446,-8,
1447,-4,
1448,-8,
1449,-4,
1450,-6,
1451,-2,
1452,-7,
1453,-6,
1454,-4,
1455,-8,
1456,-4,
1457,-8,
1458,-4,
1459,-1,
1460,-2,
1461,-3,
1462,-5,
1463,-2,
1464,-6,
1465,-8,
1466,-6,
1467,-2,
1468,-6,
1469,-3,
1470,-7,
1471,-5,
1472,-8,
1473,-4,
1474,-6,
1475,-5,
1476,-9,
1477,-1,
1478,-2,
1479,-1,
1480,-6,
1481,-10,
1482,-5,
1483,-3,
1484,-8,
1485,-1,
1486,-8,
1487,-6,
1488,-5,
1489,-5,
1490,-2,
1491,-3,
1492,-10,
1493,-5,
1494,-6,
1495,-4,
1496,-5,
1497,-7,
1498,-8,
1499,-5,
1500,-9,
