Config Num, Utility
601,-1,
602,-3,
603,-3,
604,-10,
605,-7,
606,-10,
607,-1,
608,-7,
609,-8,
610,-4,
611,-5,
612,-5,
613,-9,
614,-7,
615,-4,
616,-4,
617,-4,
618,-9,
619,-7,
620,-10,
621,-8,
622,-9,
623,-3,
624,-8,
625,-5,
626,-1,
627,-10,
628,-9,
629,-3,
630,-7,
631,-4,
632,-6,
633,-4,
634,-10,
635,-3,
636,-6,
637,-5,
638,-9,
639,-7,
640,-10,
641,-10,
642,-5,
643,-6,
644,-8,
645,-4,
646,-8,
647,-5,
648,-4,
649,-1,
650,-6,
651,-6,
652,-6,
653,-2,
654,-4,
655,-9,
656,-3,
657,-9,
658,-4,
659,-9,
660,-5,
661,-1,
662,-7,
663,-8,
664,-6,
665,-6,
666,-10,
667,-2,
668,-10,
669,-8,
670,-1,
671,-5,
672,-10,
673,-1,
674,-10,
675,-2,
676,-7,
677,-1,
678,-3,
679,-2,
680,-4,
681,-6,
682,-2,
683,-5,
684,-1,
685,-6,
686,-5,
687,-10,
688,-5,
689,-9,
690,-10,
691,-1,
692,-1,
693,-4,
694,-8,
695,-9,
696,-2,
697,-6,
698,-7,
699,-5,
700,-6,
