Config Num, Utility
16251,-5,
16252,-3,
16253,-3,
16254,-6,
16255,-1,
16256,-10,
16257,-6,
16258,-5,
16259,-4,
16260,-1,
16261,-4,
16262,-6,
16263,-6,
16264,-5,
16265,-10,
16266,-6,
16267,-7,
16268,-3,
16269,-1,
16270,-6,
16271,-5,
16272,-8,
16273,-2,
16274,-1,
16275,-4,
16276,-3,
16277,-2,
16278,-9,
16279,-8,
16280,-4,
16281,-5,
16282,-7,
16283,-5,
16284,-7,
16285,-4,
16286,-3,
16287,-5,
16288,-7,
16289,-10,
16290,-7,
16291,-2,
16292,-1,
16293,-3,
16294,-9,
16295,-3,
16296,-5,
16297,-10,
16298,-8,
16299,-6,
16300,-6,
