Config Num, Utility
15201,-8,
15202,-10,
15203,-2,
15204,-6,
15205,-7,
15206,-8,
15207,-4,
15208,-2,
15209,-5,
15210,-1,
15211,-9,
15212,-6,
15213,-10,
15214,-9,
15215,-6,
15216,-7,
15217,-5,
15218,-1,
15219,-7,
15220,-3,
15221,-2,
15222,-4,
15223,-6,
15224,-7,
15225,-3,
15226,-8,
15227,-6,
15228,-2,
15229,-5,
15230,-8,
15231,-10,
15232,-9,
15233,-4,
15234,-8,
15235,-9,
15236,-8,
15237,-7,
15238,-5,
15239,-8,
15240,-10,
15241,-4,
15242,-8,
15243,-1,
15244,-5,
15245,-8,
15246,-3,
15247,-4,
15248,-8,
15249,-9,
15250,-6,
