Config Num, Utility
16451,-4,
16452,-2,
16453,-9,
16454,-6,
16455,-9,
16456,-7,
16457,-8,
16458,-1,
16459,-7,
16460,-6,
16461,-8,
16462,-4,
16463,-10,
16464,-9,
16465,-9,
16466,-3,
16467,-5,
16468,-10,
16469,-4,
16470,-4,
16471,-5,
16472,-4,
16473,-5,
16474,-9,
16475,-4,
16476,-1,
16477,-10,
16478,-8,
16479,-6,
16480,-2,
16481,-3,
16482,-3,
16483,-3,
16484,-7,
16485,-6,
16486,-3,
16487,-8,
16488,-4,
16489,-9,
16490,-6,
16491,-7,
16492,-1,
16493,-10,
16494,-5,
16495,-10,
16496,-5,
16497,-9,
16498,-6,
16499,-7,
16500,-10,
