Config Num, Utility
2601,-2,
2602,-10,
2603,-9,
2604,-2,
2605,-1,
2606,-10,
2607,-6,
2608,-10,
2609,-8,
2610,-10,
2611,-9,
2612,-7,
2613,-2,
2614,-2,
2615,-4,
2616,-5,
2617,-2,
2618,-7,
2619,-6,
2620,-3,
2621,-8,
2622,-6,
2623,-9,
2624,-8,
2625,-1,
2626,-7,
2627,-5,
2628,-6,
2629,-8,
2630,-10,
2631,-10,
2632,-4,
2633,-6,
2634,-8,
2635,-1,
2636,-8,
2637,-10,
2638,-4,
2639,-1,
2640,-5,
2641,-2,
2642,-6,
2643,-8,
2644,-8,
2645,-1,
2646,-9,
2647,-7,
2648,-8,
2649,-9,
2650,-7,
2651,-7,
2652,-9,
2653,-5,
2654,-10,
2655,-9,
2656,-5,
2657,-4,
2658,-5,
2659,-8,
2660,-2,
2661,-3,
2662,-3,
2663,-10,
2664,-8,
2665,-6,
2666,-8,
2667,-1,
2668,-3,
2669,-10,
2670,-4,
2671,-5,
2672,-5,
2673,-10,
2674,-6,
2675,-8,
2676,-7,
2677,-3,
2678,-3,
2679,-2,
2680,-9,
2681,-3,
2682,-10,
2683,-1,
2684,-2,
2685,-7,
2686,-10,
2687,-4,
2688,-8,
2689,-10,
2690,-7,
2691,-2,
2692,-7,
2693,-3,
2694,-6,
2695,-8,
2696,-9,
2697,-6,
2698,-3,
2699,-3,
2700,-1,
