Config Num, Utility
15101,-8,
15102,-3,
15103,-3,
15104,-1,
15105,-10,
15106,-4,
15107,-5,
15108,-6,
15109,-2,
15110,-7,
15111,-10,
15112,-4,
15113,-5,
15114,-7,
15115,-7,
15116,-6,
15117,-7,
15118,-9,
15119,-9,
15120,-10,
15121,-1,
15122,-5,
15123,-2,
15124,-7,
15125,-4,
15126,-8,
15127,-8,
15128,-2,
15129,-2,
15130,-7,
15131,-6,
15132,-9,
15133,-3,
15134,-9,
15135,-7,
15136,-4,
15137,-9,
15138,-9,
15139,-1,
15140,-6,
15141,-1,
15142,-9,
15143,-9,
15144,-5,
15145,-3,
15146,-1,
15147,-8,
15148,-9,
15149,-10,
15150,-3,
