System Num, Configuration
1801,1883,
1802,1826,
1803,1853,
1804,1895,
1805,1831,
1806,1874,
1807,1879,
1808,1872,
1809,1892,
1810,1889,
1811,1829,
1812,1857,
1813,1866,
1814,1867,
1815,1844,
1816,1828,
1817,1896,
1818,1880,
1819,1865,
1820,1852,
1821,1857,
1822,1820,
1823,1836,
1824,1900,
1825,1875,
1826,1869,
1827,1819,
1828,1892,
1829,1889,
1830,1892,
1831,1817,
1832,1898,
1833,1862,
1834,1857,
1835,1834,
1836,1835,
1837,1893,
1838,1824,
1839,1860,
1840,1857,
1841,1820,
1842,1825,
1843,1844,
1844,1878,
1845,1823,
1846,1823,
1847,1883,
1848,1843,
1849,1853,
1850,1825,
1851,1865,
1852,1887,
1853,1818,
1854,1833,
1855,1895,
1856,1854,
1857,1854,
1858,1831,
1859,1865,
1860,1806,
1861,1863,
1862,1802,
1863,1875,
1864,1809,
1865,1858,
1866,1898,
1867,1837,
1868,1881,
1869,1887,
1870,1886,
1871,1882,
1872,1801,
1873,1878,
1874,1888,
1875,1834,
1876,1870,
1877,1838,
1878,1840,
1879,1897,
1880,1843,
1881,1865,
1882,1862,
1883,1880,
1884,1837,
1885,1883,
1886,1877,
1887,1850,
1888,1802,
1889,1864,
1890,1832,
1891,1900,
1892,1824,
1893,1813,
1894,1863,
1895,1818,
1896,1847,
1897,1871,
1898,1900,
1899,1854,
1900,1896,
