System Num, Configuration
1401,1431,
1402,1425,
1403,1425,
1404,1410,
1405,1485,
1406,1445,
1407,1437,
1408,1453,
1409,1442,
1410,1414,
1411,1419,
1412,1449,
1413,1416,
1414,1434,
1415,1498,
1416,1483,
1417,1406,
1418,1480,
1419,1492,
1420,1460,
1421,1493,
1422,1441,
1423,1490,
1424,1472,
1425,1456,
1426,1481,
1427,1411,
1428,1432,
1429,1490,
1430,1438,
1431,1473,
1432,1484,
1433,1422,
1434,1499,
1435,1484,
1436,1441,
1437,1421,
1438,1498,
1439,1448,
1440,1469,
1441,1428,
1442,1442,
1443,1490,
1444,1473,
1445,1425,
1446,1472,
1447,1452,
1448,1468,
1449,1411,
1450,1474,
1451,1494,
1452,1414,
1453,1495,
1454,1401,
1455,1476,
1456,1466,
1457,1462,
1458,1476,
1459,1469,
1460,1410,
1461,1405,
1462,1465,
1463,1482,
1464,1482,
1465,1496,
1466,1462,
1467,1421,
1468,1464,
1469,1418,
1470,1492,
1471,1418,
1472,1499,
1473,1495,
1474,1410,
1475,1423,
1476,1413,
1477,1472,
1478,1481,
1479,1461,
1480,1423,
1481,1456,
1482,1429,
1483,1462,
1484,1457,
1485,1459,
1486,1483,
1487,1450,
1488,1464,
1489,1499,
1490,1493,
1491,1407,
1492,1402,
1493,1436,
1494,1500,
1495,1416,
1496,1408,
1497,1419,
1498,1449,
1499,1447,
1500,1425,
