System Num, Configuration
2701,2790,
2702,2747,
2703,2786,
2704,2787,
2705,2736,
2706,2790,
2707,2773,
2708,2740,
2709,2714,
2710,2800,
2711,2779,
2712,2708,
2713,2768,
2714,2710,
2715,2733,
2716,2746,
2717,2705,
2718,2742,
2719,2789,
2720,2756,
2721,2791,
2722,2789,
2723,2774,
2724,2706,
2725,2713,
2726,2738,
2727,2776,
2728,2796,
2729,2750,
2730,2757,
2731,2749,
2732,2752,
2733,2762,
2734,2757,
2735,2762,
2736,2709,
2737,2799,
2738,2791,
2739,2745,
2740,2774,
2741,2776,
2742,2701,
2743,2735,
2744,2719,
2745,2718,
2746,2780,
2747,2783,
2748,2716,
2749,2788,
2750,2763,
2751,2714,
2752,2751,
2753,2742,
2754,2793,
2755,2766,
2756,2754,
2757,2792,
2758,2761,
2759,2701,
2760,2738,
2761,2756,
2762,2712,
2763,2739,
2764,2774,
2765,2766,
2766,2730,
2767,2773,
2768,2722,
2769,2739,
2770,2743,
2771,2746,
2772,2777,
2773,2760,
2774,2711,
2775,2743,
2776,2797,
2777,2765,
2778,2793,
2779,2722,
2780,2759,
2781,2722,
2782,2786,
2783,2727,
2784,2737,
2785,2748,
2786,2740,
2787,2768,
2788,2789,
2789,2701,
2790,2778,
2791,2765,
2792,2745,
2793,2794,
2794,2795,
2795,2704,
2796,2715,
2797,2705,
2798,2791,
2799,2707,
2800,2728,
