System Num, Configuration
1101,1120,
1102,1194,
1103,1157,
1104,1155,
1105,1164,
1106,1196,
1107,1102,
1108,1171,
1109,1140,
1110,1139,
1111,1187,
1112,1169,
1113,1104,
1114,1180,
1115,1146,
1116,1119,
1117,1192,
1118,1112,
1119,1161,
1120,1104,
1121,1198,
1122,1116,
1123,1174,
1124,1104,
1125,1148,
1126,1188,
1127,1107,
1128,1178,
1129,1185,
1130,1105,
1131,1131,
1132,1138,
1133,1103,
1134,1144,
1135,1173,
1136,1111,
1137,1195,
1138,1173,
1139,1135,
1140,1112,
1141,1112,
1142,1133,
1143,1160,
1144,1151,
1145,1199,
1146,1188,
1147,1166,
1148,1110,
1149,1109,
1150,1102,
1151,1178,
1152,1156,
1153,1127,
1154,1193,
1155,1110,
1156,1125,
1157,1186,
1158,1136,
1159,1165,
1160,1154,
1161,1135,
1162,1167,
1163,1131,
1164,1144,
1165,1178,
1166,1116,
1167,1128,
1168,1147,
1169,1151,
1170,1174,
1171,1127,
1172,1134,
1173,1162,
1174,1149,
1175,1121,
1176,1122,
1177,1160,
1178,1114,
1179,1112,
1180,1105,
1181,1152,
1182,1192,
1183,1185,
1184,1197,
1185,1164,
1186,1196,
1187,1196,
1188,1142,
1189,1120,
1190,1137,
1191,1194,
1192,1121,
1193,1104,
1194,1169,
1195,1147,
1196,1112,
1197,1146,
1198,1194,
1199,1144,
1200,1163,
