System Num, Configuration
2301,2374,
2302,2319,
2303,2363,
2304,2319,
2305,2395,
2306,2380,
2307,2375,
2308,2348,
2309,2364,
2310,2333,
2311,2379,
2312,2377,
2313,2305,
2314,2329,
2315,2339,
2316,2372,
2317,2370,
2318,2381,
2319,2309,
2320,2315,
2321,2324,
2322,2335,
2323,2351,
2324,2367,
2325,2364,
2326,2364,
2327,2334,
2328,2372,
2329,2386,
2330,2365,
2331,2369,
2332,2319,
2333,2362,
2334,2335,
2335,2381,
2336,2361,
2337,2335,
2338,2372,
2339,2323,
2340,2356,
2341,2356,
2342,2390,
2343,2308,
2344,2371,
2345,2329,
2346,2307,
2347,2397,
2348,2309,
2349,2348,
2350,2351,
2351,2331,
2352,2399,
2353,2308,
2354,2379,
2355,2302,
2356,2381,
2357,2375,
2358,2318,
2359,2374,
2360,2343,
2361,2306,
2362,2341,
2363,2347,
2364,2377,
2365,2343,
2366,2312,
2367,2390,
2368,2344,
2369,2340,
2370,2304,
2371,2361,
2372,2380,
2373,2323,
2374,2302,
2375,2400,
2376,2388,
2377,2302,
2378,2322,
2379,2387,
2380,2328,
2381,2380,
2382,2332,
2383,2320,
2384,2394,
2385,2391,
2386,2344,
2387,2385,
2388,2392,
2389,2397,
2390,2376,
2391,2375,
2392,2350,
2393,2327,
2394,2360,
2395,2326,
2396,2374,
2397,2360,
2398,2341,
2399,2400,
2400,2328,
